,product_1_rating,product_1_reviews,product_1_fake,product_2_rating,product_2_reviews,product_2_fake,product_3_rating,product_3_reviews,product_3_fake,product_4_rating,product_4_reviews,product_4_fake,product_5_rating,product_5_reviews,product_5_fake,total_reviews,total_fake,total_transactions
0,4.333333333333333,12,0,3.6666666666666665,12,0,1.75,12,0,4.75,12,0,2.1666666666666665,12,0,60,0,300
1,4.333333333333333,24,0,3.6666666666666665,24,0,1.7916666666666667,24,0,4.708333333333333,24,0,2.125,24,0,120,0,600
2,4.333333333333333,36,0,3.6666666666666665,36,0,1.7777777777777777,36,0,4.722222222222222,36,0,2.138888888888889,36,0,180,0,900
3,4.333333333333333,48,0,3.6666666666666665,48,0,2.7941176470588234,68,20,4.729166666666667,48,0,3.0,68,20,280,40,1200
4,4.35,60,0,3.6666666666666665,60,0,3.1,100,40,4.716666666666667,60,0,3.28,100,40,380,80,1500
5,4.347222222222222,72,0,3.6666666666666665,72,0,3.204724409448819,127,55,4.708333333333333,72,0,3.393700787401575,127,55,470,110,1800
6,4.357142857142857,84,0,3.6666666666666665,84,0,3.279220779220779,154,70,4.7023809523809526,84,0,3.448051948051948,154,70,560,140,2100
7,4.364583333333333,96,0,3.6666666666666665,96,0,3.314917127071823,181,85,4.697916666666667,96,0,3.4917127071823204,181,85,650,170,2400
8,4.361111111111111,108,0,3.6666666666666665,108,0,3.355769230769231,208,100,4.703703703703703,108,0,3.519230769230769,208,100,740,200,2700
9,4.358333333333333,120,0,3.6666666666666665,120,0,3.3872340425531915,235,115,4.7,120,0,3.548936170212766,235,115,830,230,3000
10,4.363636363636363,132,0,3.6666666666666665,132,0,3.404580152671756,262,130,4.712121212121212,132,0,3.568702290076336,262,130,920,260,3300
11,4.361111111111111,144,0,3.6666666666666665,144,0,3.4186851211072664,289,145,4.708333333333333,144,0,3.588235294117647,289,145,1010,290,3600
12,4.371794871794871,156,0,3.6666666666666665,156,0,3.439873417721519,316,160,4.705128205128205,156,0,3.6044303797468356,316,160,1100,320,3900
13,4.369047619047619,168,0,3.6666666666666665,168,0,3.454810495626822,343,175,4.708333333333333,168,0,3.6151603498542273,343,175,1190,350,4200
14,4.372222222222222,180,0,3.6666666666666665,180,0,3.462162162162162,370,190,4.711111111111111,180,0,3.6243243243243244,370,190,1280,380,4500
15,4.369791666666667,192,0,3.6666666666666665,192,0,3.4710327455919394,397,205,4.708333333333333,192,0,3.632241813602015,397,205,1370,410,4800
16,4.367647058823529,204,0,3.6666666666666665,204,0,3.4764150943396226,424,220,4.715686274509804,204,0,3.6391509433962264,424,220,1460,440,5100
17,4.3657407407407405,216,0,3.6666666666666665,216,0,3.4878048780487805,451,235,4.712962962962963,216,0,3.6430155210643016,451,235,1550,470,5400
18,4.364035087719298,228,0,3.6666666666666665,228,0,3.49163179916318,478,250,4.7105263157894735,228,0,3.6464435146443517,478,250,1640,500,5700
19,4.3625,240,0,3.6666666666666665,240,0,3.499009900990099,505,265,4.708333333333333,240,0,3.6534653465346536,505,265,1730,530,6000
